eva_id,t_min,hr_bpm,resp_rpm,core_temp_c,spo2_pct,ext_temp_c,helmet_co2_ppm,suit_press_kpa,critical_pct,fault
EVA-0002,50,88,20,37.1,98,-49.4,795,29.6,8.9,scrubber_exhaustion
EVA-0002,55,92,19,37.0,98,-47.8,789,29.6,9.2,scrubber_exhaustion
EVA-0002,60,89,18,37.1,98,-48.1,767,29.6,8.7,scrubber_exhaustion
EVA-0002,65,86,19,37.1,98,-44.8,923,29.6,7.6,scrubber_exhaustion
EVA-0002,70,91,19,37.1,98,-43.1,938,29.6,8.5,scrubber_exhaustion
EVA-0002,75,93,19,37.2,98,-40.6,945,29.6,10.9,scrubber_exhaustion
EVA-0002,80,87,20,37.1,98,-37.4,898,29.6,8.7,scrubber_exhaustion
EVA-0002,85,93,19,37.1,98,-37.4,1033,29.6,9.8,scrubber_exhaustion
EVA-0002,90,95,20,37.1,98,-36.7,1088,29.6,10.9,scrubber_exhaustion
EVA-0002,95,92,19,37.1,98,-33.9,1154,29.6,9.7,scrubber_exhaustion
EVA-0002,100,90,18,37.1,98,-31.1,1275,29.6,7.8,scrubber_exhaustion
EVA-0002,105,86,20,37.1,99,-32.0,1343,29.6,8.8,scrubber_exhaustion
EVA-0002,110,91,20,37.2,98,-30.4,1453,29.6,10.5,scrubber_exhaustion
EVA-0002,115,91,20,37.2,98,-27.3,1564,29.6,10.8,scrubber_exhaustion
EVA-0002,120,91,19,37.1,98,-26.9,1677,29.6,9.9,scrubber_exhaustion
EVA-0002,125,95,19,37.2,98,-24.6,1718,29.7,11.1,scrubber_exhaustion
EVA-0002,130,100,20,37.1,98,-24.2,1950,29.6,12.5,scrubber_exhaustion
EVA-0002,135,100,21,37.2,98,-22.3,2079,29.5,14.0,scrubber_exhaustion
EVA-0002,140,98,20,37.2,98,-23.4,2216,29.5,13.3,scrubber_exhaustion
EVA-0002,145,94,22,37.2,98,-21.4,2529,29.6,15.0,scrubber_exhaustion
EVA-0002,150,97,21,37.2,98,-20.9,2722,29.6,13.7,scrubber_exhaustion
EVA-0002,155,101,22,37.3,97,-21.4,2908,29.6,18.2,scrubber_exhaustion
EVA-0002,160,100,23,37.3,98,-21.3,3071,29.6,17.9,scrubber_exhaustion
EVA-0002,165,98,24,37.3,98,-18.3,3345,29.5,18.6,scrubber_exhaustion
EVA-0002,170,97,21,37.3,98,-19.2,3520,29.6,14.9,scrubber_exhaustion
EVA-0002,175,94,24,37.3,98,-19.9,3775,29.7,16.1,scrubber_exhaustion
EVA-0002,180,93,23,37.3,97,-18.8,3974,29.6,17.2,scrubber_exhaustion
EVA-0002,185,95,24,37.2,97,-17.4,4310,29.6,17.2,scrubber_exhaustion
EVA-0002,190,98,24,37.4,97,-21.8,4576,29.6,20.2,scrubber_exhaustion
EVA-0002,195,98,25,37.2,97,-21.2,4806,29.6,18.6,scrubber_exhaustion
EVA-0002,200,102,25,37.3,97,-21.0,5166,29.6,21.5,scrubber_exhaustion
EVA-0002,205,105,27,37.5,98,-18.8,5479,29.7,25.1,scrubber_exhaustion
EVA-0002,210,105,27,37.5,97,-20.9,5890,29.7,26.8,scrubber_exhaustion
EVA-0002,215,110,29,37.5,97,-21.2,6187,29.6,28.7,scrubber_exhaustion
EVA-0002,220,112,28,37.5,97,-24.4,6497,29.7,30.2,scrubber_exhaustion
EVA-0002,225,112,29,37.7,97,-25.4,6869,29.6,32.6,scrubber_exhaustion
EVA-0002,230,121,30,37.6,97,-24.7,7233,29.7,34.3,scrubber_exhaustion
EVA-0002,235,122,32,37.8,97,-26.4,7606,29.6,39.5,scrubber_exhaustion
EVA-0002,240,121,33,37.7,97,-27.1,7963,29.6,39.6,scrubber_exhaustion
EVA-0002,245,127,33,37.8,97,-29.4,8413,29.6,42.1,scrubber_exhaustion
EVA-0002,250,133,34,37.9,97,-30.3,8806,29.7,45.5,scrubber_exhaustion
EVA-0002,255,138,34,37.9,97,-31.9,9215,29.6,45.4,scrubber_exhaustion
EVA-0002,260,141,36,37.9,96,-32.7,9737,29.6,48.4,scrubber_exhaustion
EVA-0002,265,146,36,38.0,96,-34.3,10187,29.6,50.8,scrubber_exhaustion
EVA-0002,270,150,37,38.0,96,-38.8,10557,29.6,53.1,scrubber_exhaustion
EVA-0003,0,86,19,36.9,98,-68.0,643,29.6,8.5,heater_failure
EVA-0003,5,89,19,36.8,98,-69.1,586,29.6,10.4,heater_failure
EVA-0003,10,97,18,36.9,98,-68.7,635,29.5,9.6,heater_failure
EVA-0003,15,97,20,36.9,98,-68.4,687,29.5,11.1,heater_failure
EVA-0003,20,102,20,36.8,98,-68.0,708,29.5,14.0,heater_failure
EVA-0003,25,107,19,36.9,99,-65.6,722,29.5,12.7,heater_failure
EVA-0003,30,106,21,36.8,98,-70.2,655,29.6,16.3,heater_failure
EVA-0003,35,108,21,36.8,98,-69.5,764,29.7,16.3,heater_failure
EVA-0003,40,116,22,36.9,98,-67.6,701,29.6,17.1,heater_failure
EVA-0003,45,109,22,36.8,98,-66.7,777,29.7,17.2,heater_failure
EVA-0003,50,109,22,36.9,99,-65.8,760,29.6,15.3,heater_failure
EVA-0003,55,113,23,36.9,98,-66.0,709,29.6,17.1,heater_failure
EVA-0003,60,113,23,36.8,98,-66.9,769,29.6,18.3,heater_failure
EVA-0003,65,112,20,36.7,98,-65.2,811,29.6,16.2,heater_failure
EVA-0003,70,113,22,36.8,98,-65.3,833,29.6,17.4,heater_failure
EVA-0003,75,122,23,36.9,98,-66.4,810,29.6,19.0,heater_failure
EVA-0003,80,120,22,36.7,98,-65.5,897,29.6,19.9,heater_failure
EVA-0003,85,120,24,36.8,98,-66.5,885,29.6,20.7,heater_failure
EVA-0003,90,124,25,36.6,98,-67.7,839,29.6,23.8,heater_failure
EVA-0003,95,122,23,36.8,98,-66.4,896,29.6,20.7,heater_failure
EVA-0003,100,120,24,36.6,98,-67.4,961,29.6,22.6,heater_failure
EVA-0003,105,121,23,36.6,98,-67.8,973,29.6,22.0,heater_failure
EVA-0003,110,115,23,36.7,98,-66.4,841,29.6,19.8,heater_failure
EVA-0003,115,124,25,36.4,98,-71.5,866,29.6,27.4,heater_failure
EVA-0003,120,129,23,36.3,98,-70.7,986,29.6,27.9,heater_failure
EVA-0003,125,125,24,36.3,98,-70.8,883,29.6,28.2,heater_failure
EVA-0003,130,126,22,36.2,98,-70.3,882,29.6,27.8,heater_failure
EVA-0003,135,120,24,36.2,98,-70.6,931,29.7,28.5,heater_failure
EVA-0003,140,123,22,35.8,98,-72.6,983,29.7,31.4,heater_failure
EVA-0003,145,124,22,35.8,98,-72.5,971,29.6,31.3,heater_failure
EVA-0003,150,124,22,35.8,98,-72.9,958,29.7,32.2,heater_failure
EVA-0003,155,121,20,36.0,97,-69.4,968,29.6,29.0,heater_failure
EVA-0003,160,113,21,35.9,98,-70.7,978,29.6,28.7,heater_failure
EVA-0003,165,121,20,35.5,98,-73.9,982,29.6,33.2,heater_failure
EVA-0003,170,120,20,35.4,98,-74.4,1135,29.6,34.9,heater_failure
EVA-0003,175,113,19,35.1,98,-75.9,1057,29.5,36.3,heater_failure
EVA-0003,180,103,18,34.9,98,-77.3,1095,29.6,35.1,heater_failure
EVA-0003,185,115,20,35.1,98,-75.7,1045,29.5,37.1,heater_failure
EVA-0004,0,76,12,37.1,97,-51.4,475,29.7,3.5,seal_leak
EVA-0004,5,73,12,37.2,97,-49.4,549,29.6,4.1,seal_leak
EVA-0004,10,73,14,37.2,98,-49.1,492,29.6,3.2,seal_leak
EVA-0004,15,72,14,37.1,97,-48.3,586,29.6,2.7,seal_leak
EVA-0004,20,73,13,37.2,98,-45.0,510,29.6,2.5,seal_leak
EVA-0004,25,76,13,37.2,97,-45.7,548,29.7,4.0,seal_leak
EVA-0004,30,83,13,37.2,98,-41.6,555,29.6,5.0,seal_leak
EVA-0004,35,81,14,37.1,97,-43.0,652,29.5,5.3,seal_leak
EVA-0004,40,85,14,37.2,98,-39.7,616,29.6,5.7,seal_leak
EVA-0004,45,86,15,37.1,98,-40.2,594,29.6,5.5,seal_leak
EVA-0004,50,88,15,37.3,97,-38.2,626,29.5,8.6,seal_leak
EVA-0004,55,89,15,37.1,97,-39.0,515,29.3,9.5,seal_leak
EVA-0004,60,95,15,37.2,97,-37.9,605,29.2,11.0,seal_leak
EVA-0004,65,96,16,37.2,96,-35.2,692,29.0,13.8,seal_leak
EVA-0004,70,92,17,37.3,97,-33.3,614,28.9,13.5,seal_leak
EVA-0004,75,94,16,37.2,96,-33.3,612,28.6,12.9,seal_leak
EVA-0004,80,100,18,37.2,96,-33.8,631,28.5,16.4,seal_leak
EVA-0004,85,101,18,37.2,95,-32.8,645,28.3,19.2,seal_leak
EVA-0004,90,107,18,37.2,95,-31.9,531,28.1,21.9,seal_leak
EVA-0004,95,106,18,37.2,95,-31.3,543,27.9,20.7,seal_leak
EVA-0004,100,114,20,37.1,95,-28.2,615,27.6,23.6,seal_leak
EVA-0004,105,106,20,37.1,94,-26.1,580,27.3,22.7,seal_leak
EVA-0004,110,111,18,37.0,93,-26.7,653,27.1,25.0,seal_leak
EVA-0004,115,110,20,37.0,93,-28.7,592,26.8,26.5,seal_leak
EVA-0004,120,113,19,36.9,93,-25.5,533,26.5,28.1,seal_leak
EVA-0004,125,114,20,37.0,92,-24.9,555,26.2,30.6,seal_leak
EVA-0004,130,110,21,36.9,91,-21.8,502,25.9,31.6,seal_leak
EVA-0004,135,122,21,37.0,91,-25.6,587,25.6,34.9,seal_leak
EVA-0004,140,124,22,36.8,90,-24.0,586,25.4,39.7,seal_leak
EVA-0004,145,120,21,36.8,90,-21.3,575,25.1,40.1,seal_leak
EVA-0004,150,122,21,36.8,89,-22.7,620,24.6,41.1,seal_leak
EVA-0004,155,125,21,36.8,89,-22.5,620,24.4,44.0,seal_leak
EVA-0004,160,123,21,36.6,88,-23.1,573,24.0,47.0,seal_leak
EVA-0004,165,124,23,36.6,88,-23.0,509,23.7,50.3,seal_leak
EVA-0004,170,122,23,36.6,87,-22.6,588,23.3,52.3,seal_leak
EVA-0004,175,131,24,36.6,86,-24.9,581,22.9,57.0,seal_leak
EVA-0004,180,132,25,36.5,86,-23.2,569,22.5,60.4,seal_leak
EVA-0004,185,128,22,36.4,85,-26.4,583,22.2,59.4,seal_leak
EVA-0004,190,136,23,36.3,85,-24.9,518,21.9,64.2,seal_leak
EVA-0004,195,136,23,36.3,84,-25.8,599,21.4,63.5,seal_leak
EVA-0004,200,138,24,36.3,83,-27.4,513,21.1,64.7,seal_leak
EVA-0004,205,142,24,36.2,83,-27.5,552,20.7,66.6,seal_leak
EVA-0004,210,141,24,36.1,82,-29.1,483,20.2,68.2,seal_leak
EVA-0004,215,148,24,36.2,81,-30.5,496,19.8,68.7,seal_leak
EVA-0005,0,69,16,37.2,99,-62.6,700,29.6,4.8,heater_failure
EVA-0005,5,74,17,37.2,99,-63.4,728,29.6,5.8,heater_failure
EVA-0005,10,85,19,37.4,99,-62.3,729,29.6,11.2,heater_failure
EVA-0005,15,80,18,37.4,99,-62.2,829,29.6,9.6,heater_failure
EVA-0005,20,91,18,37.3,99,-63.0,744,29.5,11.1,heater_failure
EVA-0005,25,88,19,37.3,99,-64.2,780,29.6,11.0,heater_failure
EVA-0005,30,87,19,37.1,99,-66.8,829,29.6,8.0,heater_failure
EVA-0005,35,89,20,37.2,99,-63.8,891,29.7,10.8,heater_failure
EVA-0005,40,89,20,37.2,99,-63.6,806,29.6,10.9,heater_failure
EVA-0005,45,91,19,37.1,99,-64.8,836,29.6,9.3,heater_failure
EVA-0005,50,92,21,37.0,99,-67.0,826,29.6,10.6,heater_failure
EVA-0005,55,86,20,37.0,99,-65.6,941,29.6,8.4,heater_failure
EVA-0005,60,87,20,37.0,99,-65.8,911,29.6,8.3,heater_failure
EVA-0005,65,82,18,36.9,99,-65.4,966,29.6,5.8,heater_failure
EVA-0005,70,84,17,36.4,99,-68.7,1036,29.6,13.1,heater_failure
EVA-0005,75,71,18,36.5,98,-68.3,999,29.6,9.4,heater_failure
EVA-0005,80,79,16,36.3,99,-67.5,1060,29.6,11.3,heater_failure
EVA-0005,85,71,16,36.2,98,-68.6,1059,29.6,12.2,heater_failure
EVA-0005,90,71,15,36.0,99,-70.2,1124,29.6,12.8,heater_failure
EVA-0005,95,71,15,36.1,99,-68.6,1138,29.6,12.6,heater_failure
EVA-0006,0,88,18,36.9,98,-49.0,647,29.6,7.6,scrubber_exhaustion
EVA-0006,5,96,18,36.9,98,-50.1,717,29.6,9.3,scrubber_exhaustion
EVA-0006,10,95,18,36.9,98,-52.9,726,29.6,8.5,scrubber_exhaustion
EVA-0006,15,97,20,36.9,98,-54.5,719,29.6,10.6,scrubber_exhaustion
EVA-0006,20,98,19,37.0,98,-56.6,697,29.7,9.2,scrubber_exhaustion
EVA-0006,25,103,18,37.0,99,-55.9,752,29.6,9.0,scrubber_exhaustion
EVA-0006,30,101,19,37.0,98,-56.9,757,29.6,10.0,scrubber_exhaustion
EVA-0006,35,103,19,37.0,98,-58.3,714,29.6,10.3,scrubber_exhaustion
EVA-0006,40,108,20,37.0,98,-58.3,722,29.5,12.9,scrubber_exhaustion
EVA-0006,45,112,21,37.0,98,-60.1,828,29.6,14.0,scrubber_exhaustion
EVA-0006,50,113,21,37.1,98,-60.3,699,29.6,14.8,scrubber_exhaustion
EVA-0006,55,112,23,37.2,98,-60.7,840,29.5,18.9,scrubber_exhaustion
EVA-0006,60,117,22,37.1,98,-61.4,823,29.7,16.7,scrubber_exhaustion
EVA-0006,65,113,22,37.1,98,-61.8,917,29.6,16.7,scrubber_exhaustion
EVA-0006,70,111,20,37.1,98,-58.3,850,29.6,14.5,scrubber_exhaustion
EVA-0006,75,112,21,37.1,98,-61.1,916,29.6,15.2,scrubber_exhaustion
EVA-0006,80,118,22,37.2,98,-60.7,892,29.6,18.6,scrubber_exhaustion
EVA-0006,85,113,21,37.0,98,-58.6,1006,29.6,14.5,scrubber_exhaustion
EVA-0006,90,111,19,37.1,98,-57.8,1207,29.6,12.7,scrubber_exhaustion
EVA-0006,95,114,21,37.0,98,-58.7,1413,29.6,14.6,scrubber_exhaustion
EVA-0006,100,120,22,37.1,98,-54.4,1828,29.6,17.2,scrubber_exhaustion
EVA-0006,105,109,22,37.1,98,-54.4,2181,29.6,16.2,scrubber_exhaustion
EVA-0006,110,117,23,37.2,98,-54.1,2775,29.5,20.5,scrubber_exhaustion
EVA-0006,115,118,25,37.3,97,-49.8,3435,29.5,23.9,scrubber_exhaustion
EVA-0006,120,120,26,37.4,97,-48.8,4152,29.6,26.9,scrubber_exhaustion
EVA-0006,125,124,28,37.4,98,-49.3,5036,29.6,28.5,scrubber_exhaustion
EVA-0006,130,130,30,37.5,97,-43.9,5842,29.5,35.0,scrubber_exhaustion
EVA-0006,135,137,33,37.7,97,-43.5,6842,29.6,42.2,scrubber_exhaustion
EVA-0006,140,149,34,37.8,97,-42.6,7988,29.6,46.3,scrubber_exhaustion
EVA-0006,145,159,37,37.8,96,-39.0,9293,29.5,51.3,scrubber_exhaustion
EVA-0006,150,171,40,38.0,96,-39.1,10619,29.6,56.1,scrubber_exhaustion
EVA-0007,0,77,18,37.1,99,-54.4,611,29.6,5.5,nominal
EVA-0007,5,80,19,37.1,99,-57.1,769,29.6,6.3,nominal
EVA-0007,10,86,19,37.2,98,-59.5,727,29.6,10.0,nominal
EVA-0007,15,91,20,37.2,99,-59.6,789,29.6,11.8,nominal
EVA-0007,20,84,19,37.2,98,-59.8,764,29.6,8.3,nominal
EVA-0007,25,88,18,37.1,99,-59.2,785,29.7,7.5,nominal
EVA-0007,30,93,19,37.2,98,-62.6,793,29.6,10.7,nominal
EVA-0007,35,99,20,37.1,99,-62.0,821,29.6,11.8,nominal
EVA-0007,40,96,20,37.3,99,-61.6,905,29.7,13.6,nominal
EVA-0007,45,101,22,37.3,98,-65.6,859,29.6,15.7,nominal
EVA-0007,50,106,21,37.2,98,-61.7,757,29.6,16.1,nominal
EVA-0007,55,98,22,37.3,98,-64.4,861,29.5,15.1,nominal
EVA-0007,60,106,22,37.3,99,-62.5,905,29.6,17.0,nominal
EVA-0007,65,106,23,37.3,98,-62.4,920,29.5,18.3,nominal
EVA-0007,70,111,24,37.4,98,-61.0,860,29.7,21.9,nominal
EVA-0007,75,112,24,37.4,98,-61.1,944,29.6,21.6,nominal
EVA-0007,80,110,24,37.4,98,-64.0,946,29.6,21.5,nominal
EVA-0007,85,108,23,37.4,98,-61.3,1033,29.6,20.0,nominal
EVA-0007,90,113,23,37.3,98,-59.3,896,29.5,20.5,nominal
EVA-0007,95,112,24,37.3,99,-58.7,920,29.6,20.1,nominal
EVA-0007,100,108,23,37.3,98,-56.7,942,29.6,18.7,nominal
EVA-0007,105,107,22,37.4,99,-55.1,946,29.6,18.5,nominal
EVA-0007,110,110,23,37.3,98,-54.0,941,29.6,19.6,nominal
EVA-0007,115,104,21,37.2,98,-53.5,869,29.7,15.3,nominal
EVA-0007,120,103,22,37.3,99,-54.0,987,29.6,16.3,nominal
EVA-0007,125,102,22,37.2,98,-50.7,1036,29.6,16.1,nominal
EVA-0007,130,104,21,37.3,99,-48.0,1009,29.6,16.5,nominal
EVA-0007,135,95,22,37.2,98,-48.1,1132,29.7,13.6,nominal
EVA-0007,140,93,20,37.2,98,-44.3,1058,29.6,11.0,nominal
EVA-0007,145,94,20,37.3,98,-42.2,1128,29.5,12.9,nominal
EVA-0007,150,93,20,37.3,99,-41.4,1094,29.6,12.4,nominal
EVA-0007,155,85,19,37.1,98,-43.4,1133,29.6,8.3,nominal
EVA-0007,160,83,19,37.1,98,-39.5,1121,29.6,8.2,nominal
EVA-0007,165,87,19,37.2,98,-33.9,1182,29.6,9.5,nominal
EVA-0008,0,84,16,36.9,98,-68.2,781,29.6,4.4,heater_failure
EVA-0008,5,84,16,36.9,98,-69.1,794,29.6,4.2,heater_failure
EVA-0008,10,93,18,36.9,99,-69.4,826,29.6,8.7,heater_failure
EVA-0008,15,94,16,36.8,99,-67.6,792,29.6,8.2,heater_failure
EVA-0008,20,95,17,36.8,99,-69.5,859,29.7,8.8,heater_failure
EVA-0008,25,91,18,36.9,98,-67.4,817,29.6,7.7,heater_failure
EVA-0008,30,92,17,36.8,98,-68.1,839,29.7,9.4,heater_failure
EVA-0008,35,95,18,36.8,98,-68.4,781,29.6,10.7,heater_failure
EVA-0008,40,91,18,36.7,99,-68.4,923,29.6,10.8,heater_failure
EVA-0008,45,95,19,36.9,98,-68.8,855,29.7,10.0,heater_failure
EVA-0008,50,97,19,36.9,98,-67.2,873,29.6,10.9,heater_failure
EVA-0008,55,103,20,36.8,99,-69.5,776,29.5,13.3,heater_failure
EVA-0008,60,102,19,36.8,99,-70.3,819,29.7,12.6,heater_failure
EVA-0008,65,94,19,36.8,98,-67.6,919,29.6,10.9,heater_failure
EVA-0008,70,105,19,36.8,98,-67.5,884,29.6,13.9,heater_failure
EVA-0008,75,98,19,36.8,98,-67.6,792,29.6,12.5,heater_failure
EVA-0008,80,103,19,36.7,98,-67.6,933,29.6,13.6,heater_failure
EVA-0008,85,106,20,36.9,99,-68.4,869,29.6,13.0,heater_failure
EVA-0008,90,100,19,36.8,99,-67.0,965,29.6,12.2,heater_failure
EVA-0008,95,104,20,36.7,99,-67.9,905,29.6,15.3,heater_failure
EVA-0008,100,105,20,36.7,99,-68.4,925,29.6,15.2,heater_failure
EVA-0008,105,105,19,36.6,98,-68.1,977,29.6,15.5,heater_failure
EVA-0008,110,104,19,36.9,99,-65.2,891,29.6,12.4,heater_failure
EVA-0008,115,106,19,36.5,98,-69.6,894,29.5,16.8,heater_failure
EVA-0008,120,103,20,36.7,98,-66.9,937,29.6,15.8,heater_failure
EVA-0008,125,101,20,36.6,98,-69.4,991,29.6,16.0,heater_failure
